ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5.877,0.08,-0.03,0.92,-1.02,2.22,0.04
5.897,0.08,-0.04,0.92,-1.04,2.24,-0.02
5.917,0.08,-0.03,0.92,-1.05,2.26,-0.04
5.937,0.08,-0.03,0.92,-1.02,2.28,0.08
5.957,0.08,-0.03,0.92,-1.04,2.19,0.06
5.977,0.08,-0.04,0.92,-1.1,2.23,-0.01
5.997,0.08,-0.03,0.92,-1.02,2.27,-0.01
6.017,0.08,-0.03,0.92,-1.07,2.27,-0.05
6.037,0.08,-0.03,0.92,-1.02,2.24,0.05
6.057,0.08,-0.03,0.92,-1.06,2.24,-0.02
6.077,0.08,-0.03,0.92,-0.99,2.22,-0.01
6.097,0.08,-0.03,0.92,-1.03,2.3,-0.02
6.117,0.08,-0.04,0.92,-1.02,2.28,0
6.137,0.08,-0.03,0.92,-1.01,2.18,0.03
6.157,0.08,-0.04,0.91,-1.04,2.3,-0.01
6.177,0.08,-0.04,0.92,-1.01,2.25,-0.02
6.197,0.08,-0.03,0.92,-1.03,2.28,-0.01
6.217,0.08,-0.04,0.92,-1.02,2.32,0
6.237,0.08,-0.03,0.92,-0.95,2.27,0.08
6.257,0.08,-0.03,0.92,-1.02,2.23,-0.07
6.277,0.08,-0.03,0.91,-1.04,2.3,-0.07
6.297,0.08,-0.04,0.92,-0.98,2.18,0.02
6.317,0.08,-0.03,0.92,-1.05,2.16,-0.01
6.337,0.08,-0.03,0.92,-1.03,2.26,0
6.358,0.08,-0.03,0.92,-1.03,2.19,0.07
6.377,0.08,-0.04,0.91,-1.03,2.21,0.01
6.397,0.08,-0.04,0.92,-1.08,2.19,0.03
6.417,0.08,-0.03,0.92,-1.03,2.3,0.07
6.437,0.08,-0.03,0.92,-1.08,2.28,-0.02
6.457,0.08,-0.03,0.92,-0.98,2.14,-0.01
6.477,0.08,-0.03,0.93,-0.98,2.21,0.03
6.497,0.08,-0.04,0.92,-1.04,2.16,0.03
6.517,0.08,-0.03,0.92,-1.06,2.24,0.01
6.537,0.08,-0.03,0.92,-1.07,2.24,0.03
6.557,0.08,-0.03,0.92,-1.05,2.3,-0.02
6.577,0.08,-0.03,0.92,-1.04,2.22,0.05
6.597,0.08,-0.04,0.92,-1.08,2.34,-0.01
6.617,0.08,-0.04,0.92,-1.05,2.26,0.02
6.637,0.08,-0.03,0.92,-1.03,2.27,0.02
6.657,0.08,-0.04,0.92,-1.05,2.21,-0.04
6.677,0.08,-0.03,0.92,-1.01,2.28,0.01
6.697,0.08,-0.04,0.92,-1.02,2.34,0.02
6.717,0.08,-0.03,0.92,-1.04,2.27,-0.02
6.737,0.08,-0.04,0.92,-0.99,2.24,-0.01
6.757,0.08,-0.04,0.92,-0.98,2.32,-0.01
6.777,0.08,-0.03,0.92,-0.99,2.19,0
6.797,0.08,-0.04,0.92,-0.98,2.18,0.02
6.817,0.08,-0.03,0.92,-0.98,2.21,0.02
6.837,0.08,-0.03,0.92,-1.03,2.21,0.02
6.857,0.08,-0.04,0.92,-1.01,2.25,-0.02
6.877,0.08,-0.04,0.92,-1,2.27,-0.02
6.897,0.08,-0.03,0.92,-1.02,2.16,-0.04
6.917,0.08,-0.03,0.92,-0.97,2.18,-0.05
6.937,0.08,-0.03,0.92,-0.95,2.22,0.02
6.957,0.08,-0.03,0.92,-1.08,2.25,-0.02
6.977,0.08,-0.04,0.91,-1,2.31,0
6.998,0.08,-0.04,0.92,-1.02,2.21,0.05
7.017,0.08,-0.04,0.92,-1.09,2.23,0.01
7.037,0.08,-0.04,0.92,-1.11,2.24,0.01
7.057,0.08,-0.03,0.91,-1.04,2.23,-0.06
7.077,0.08,-0.03,0.92,-1.03,2.22,0.01
7.097,0.08,-0.04,0.92,-0.98,2.21,-0.07
7.117,0.08,-0.03,0.92,-1.01,2.21,-0.01
7.137,0.08,-0.03,0.92,-0.99,2.22,-0.01
7.157,0.08,-0.03,0.92,-1.08,2.16,-0.03
7.177,0.08,-0.04,0.92,-1.02,2.26,-0.02
